uID,slID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
b5e508803cefd23085855330424d7b16,5297,"MonnieRock ""Perv""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24acdd48354f80ccae81ea78a166194a,51,Showtime 1-1 | Demon,Bradz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89425447a6db4c885ce1338997465fba,110,Aviator750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f259628c21fba5455d68922000eb8bf0,1040,Hectors Jam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19aaeaea878a9c35466449119409e26e,3939,Teufel Hunden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5ced7f1be5d329ca78fef8cb332b9976,2581,Dutch 1-2 I Denneledoe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0a18a4c32a26f7e6265e5c825af22711,1162,[16AGR] Ghostrider,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
db7a6308f6c591d90ff88e76076d7639,3126,Unfairbot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c405a4e45275ff8e41acc2b4fd5ae1dd,616,Lt. Silk | CVW-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
810f63ba175f128d91b6b60ffcba164a,4809,nulatium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acccf7803c35bb3c3964151518469f94,339,ghostdog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c082028062f5a0ea7196f7b8dad55786,617,Higgs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e15242c8355f53d8c7e75eb1ab38423e,265,Liquid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d2168041dd96edf73d11dcaab6930a14,2677,k.rogue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44ada59b72229fa0349e04e00878902e,5357,BUMBLE 1-2 | FriedRice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c1287cc66c3235f77e5b9a5b9f2aa615,717,Sousuke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7e8c3390c67ef734cb9c8439c27b3b20,1981,Dan_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29cfa55e5435e10f6eb35e5e07cf8b89,3433,=JAGTF=Halo,Halo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8cd7e9d4a228086969429c135c839000,1406,Dickbong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f45e846a733b808a7c8c74892dd68fad,5467,Toxic Stoner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6c4df8d7d9bf680ac89bbbbace90ebd6,2372,Keakaha,Toegaf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d796b0f203dd7db33b0997c14cd7e4bf,3379,Ragdoll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d5a1b9a3b3eaafcd8a480c001264a5bd,4965,Eniac Blue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22269b29639b38f96c6de58a9df5ccfe,3208,Zahar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3c3c5129deb65117fe382913f8d9cc8e,4625,Sent1x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a28576ffc948707cc12bc741c97208e7,2117,-=FS=- Frosty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
